id,web_name,team,element_type,now_cost,selected_by_percent,event_points,total_points,position,team_name
1,Cédric,1,2,4.4,0.3,0,0,Defender,Arsenal
3,Xhaka,1,3,5.0,0.8,10,12,Midfielder,Arsenal
4,Elneny,1,3,4.5,1.0,0,0,Midfielder,Arsenal
5,Holding,1,2,4.4,0.2,0,0,Defender,Arsenal
6,Partey,1,3,5.0,0.7,2,5,Midfielder,Arsenal
7,Ødegaard,1,3,6.5,13.2,2,5,Midfielder,Arsenal
8,Tierney,1,2,5.0,1.2,1,2,Defender,Arsenal
9,Pépé,1,3,5.4,0.4,0,0,Midfielder,Arsenal
10,White,1,2,4.5,6.4,1,6,Defender,Arsenal
11,Nketiah,1,4,6.9,0.6,1,2,Forward,Arsenal
12,Smith Rowe,1,3,5.9,1.1,1,1,Midfielder,Arsenal
13,Saka,1,3,8.0,21.4,2,8,Midfielder,Arsenal
14,Tomiyasu,1,2,4.4,1.4,0,0,Defender,Arsenal
15,Ramsdale,1,1,5.0,15.4,1,7,Goalkeeper,Arsenal
16,Gabriel,1,2,5.0,8.5,1,8,Defender,Arsenal
17,Tavares,1,2,4.5,0.0,0,0,Defender,Arsenal
18,Sambi,1,3,4.5,0.3,0,1,Midfielder,Arsenal
19,Martinelli,1,3,6.1,27.7,7,15,Midfielder,Arsenal
20,Pablo Marí,1,2,4.5,0.1,0,0,Defender,Arsenal
21,Maitland-Niles,1,3,5.0,0.1,0,0,Midfielder,Arsenal
22,Torreira,1,3,4.5,0.4,0,0,Midfielder,Arsenal
23,Nelson,1,3,5.0,0.0,0,0,Midfielder,Arsenal
24,Turner,1,1,4.0,0.8,0,0,Goalkeeper,Arsenal
25,Fábio Vieira,1,3,5.9,0.1,0,0,Midfielder,Arsenal
26,Saliba,1,2,4.5,5.5,-1,7,Defender,Arsenal
27,Marquinhos,1,3,4.9,0.1,0,0,Midfielder,Arsenal
28,Jesus,1,4,8.0,70.9,16,18,Forward,Arsenal
313,Zinchenko,1,2,5.1,25.7,1,13,Defender,Arsenal
29,Coutinho,2,3,7.0,14.5,0,2,Midfielder,Aston Villa
30,Ings,2,4,7.0,2.0,5,6,Forward,Aston Villa
31,Martínez,2,1,5.0,5.7,3,4,Goalkeeper,Aston Villa
32,Chambers,2,2,4.5,0.3,1,1,Defender,Aston Villa
33,Digne,2,2,5.0,4.1,-1,0,Defender,Aston Villa
34,Traoré,2,3,5.0,0.2,0,0,Midfielder,Aston Villa
35,Olsen,2,1,4.0,2.0,0,0,Goalkeeper,Aston Villa
36,Sanson,2,3,4.5,0.4,0,0,Midfielder,Aston Villa
37,McGinn,2,3,5.5,1.8,2,4,Midfielder,Aston Villa
38,Hause,2,2,4.5,0.0,0,0,Defender,Aston Villa
39,Mings,2,2,4.5,5.8,2,2,Defender,Aston Villa
40,Watkins,2,4,7.4,3.0,8,9,Forward,Aston Villa
41,Nakamba,2,3,4.5,0.2,0,0,Midfielder,Aston Villa
42,Buendía,2,3,6.0,0.5,6,7,Midfielder,Aston Villa
43,Cash,2,2,5.0,16.9,2,3,Defender,Aston Villa
44,Konsa,2,2,4.5,0.3,1,2,Defender,Aston Villa
45,Bailey,2,3,5.0,16.7,1,3,Midfielder,Aston Villa
46,Douglas Luiz,2,3,5.0,0.6,0,0,Midfielder,Aston Villa
47,Ramsey,2,3,5.5,1.8,2,2,Midfielder,Aston Villa
49,Iroegbunam,2,3,4.5,0.0,0,0,Midfielder,Aston Villa
50,Diego Carlos,2,2,5.0,1.1,2,3,Defender,Aston Villa
51,El Ghazi,2,3,5.0,0.1,0,0,Midfielder,Aston Villa
52,Davis,2,4,5.4,0.1,0,0,Forward,Aston Villa
53,Kamara,2,3,5.0,0.2,2,4,Midfielder,Aston Villa
54,Archer,2,4,4.5,7.5,0,1,Forward,Aston Villa
55,Philogene-Bidace,2,3,4.5,0.0,0,0,Midfielder,Aston Villa
56,Guilbert,2,2,4.0,0.9,0,0,Defender,Aston Villa
525,Augustinsson,2,2,4.5,0.1,0,0,Defender,Aston Villa
537,Kesler Hayden,2,2,4.0,0.1,0,0,Defender,Aston Villa
538,Young,2,2,4.5,0.1,0,0,Defender,Aston Villa
57,Smith,3,2,4.5,0.2,-1,4,Defender,Bournemouth
58,Stanislas,3,3,5.0,0.1,1,2,Midfielder,Bournemouth
59,Fredericks,3,2,4.5,0.0,0,0,Defender,Bournemouth
60,Brooks,3,3,5.5,0.0,0,0,Midfielder,Bournemouth
61,Lowe,3,3,5.5,0.1,1,1,Midfielder,Bournemouth
62,Moore,3,4,5.5,1.0,2,8,Forward,Bournemouth
63,Marcondes,3,3,5.0,0.0,0,0,Midfielder,Bournemouth
64,Lerma,3,3,5.0,1.5,0,10,Midfielder,Bournemouth
65,Stacey,3,2,4.5,0.1,-1,-1,Defender,Bournemouth
66,Solanke,3,4,6.0,1.1,0,2,Forward,Bournemouth
67,Cook,3,3,5.0,0.1,2,3,Midfielder,Bournemouth
68,Pearson,3,3,4.5,0.4,2,4,Midfielder,Bournemouth
69,Christie,3,3,5.5,0.1,2,3,Midfielder,Bournemouth
70,Billing,3,3,5.5,0.2,1,3,Midfielder,Bournemouth
71,Mepham,3,2,4.5,0.1,-1,6,Defender,Bournemouth
72,Travers,3,1,4.5,0.6,1,7,Goalkeeper,Bournemouth
73,Kelly,3,2,4.5,1.7,0,12,Defender,Bournemouth
