id,name,deadline_time
1,Gameweek 1,2022-08-05T17:30:00Z
2,Gameweek 2,2022-08-13T10:00:00Z
3,Gameweek 3,2022-08-20T10:00:00Z
4,Gameweek 4,2022-08-27T10:00:00Z
5,Gameweek 5,2022-08-30T17:00:00Z
6,Gameweek 6,2022-09-03T10:00:00Z
7,Gameweek 7,2022-09-10T10:00:00Z
8,Gameweek 8,2022-09-16T17:30:00Z
9,Gameweek 9,2022-10-01T10:00:00Z
10,Gameweek 10,2022-10-08T12:30:00Z
11,Gameweek 11,2022-10-14T17:30:00Z
12,Gameweek 12,2022-10-18T17:00:00Z
13,Gameweek 13,2022-10-22T10:00:00Z
14,Gameweek 14,2022-10-29T10:00:00Z
15,Gameweek 15,2022-11-05T13:30:00Z
16,Gameweek 16,2022-11-12T13:30:00Z
17,Gameweek 17,2022-12-26T13:30:00Z
18,Gameweek 18,2022-12-31T13:30:00Z
19,Gameweek 19,2023-01-02T13:30:00Z
20,Gameweek 20,2023-01-14T13:30:00Z
21,Gameweek 21,2023-01-21T13:30:00Z
22,Gameweek 22,2023-02-04T13:30:00Z
23,Gameweek 23,2023-02-11T13:30:00Z
24,Gameweek 24,2023-02-18T13:30:00Z
25,Gameweek 25,2023-02-25T13:30:00Z
26,Gameweek 26,2023-03-04T13:30:00Z
27,Gameweek 27,2023-03-11T13:30:00Z
28,Gameweek 28,2023-03-18T13:30:00Z
29,Gameweek 29,2023-04-01T12:30:00Z
30,Gameweek 30,2023-04-08T12:30:00Z
31,Gameweek 31,2023-04-15T12:30:00Z
32,Gameweek 32,2023-04-22T12:30:00Z
33,Gameweek 33,2023-04-25T17:15:00Z
34,Gameweek 34,2023-04-29T12:30:00Z
35,Gameweek 35,2023-05-06T12:30:00Z
36,Gameweek 36,2023-05-13T12:30:00Z
37,Gameweek 37,2023-05-20T12:30:00Z
38,Gameweek 38,2023-05-28T13:30:00Z
